Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-03-19,114.2,115.05,113.86,114.78,114.78,4509908,XOM
2025-03-18,114.09,114.54,112.57,113.64,113.64,15991700,XOM
2025-03-17,111.8,114.5,111.73,113.76,113.76,19908800,XOM
2025-03-14,108.94,112.18,108.31,111.9,111.90,15890100,XOM
2025-03-13,108.33,110.82,107.63,108.67,108.67,17767800,XOM
2025-03-12,109.05,110.13,108.42,109.13,109.13,14051500,XOM
2025-03-11,111.92,112.1,108.79,109.16,109.16,19904700,XOM
2025-03-10,109.28,112.57,109.08,111.8,111.80,22749100,XOM
2025-03-07,108.41,110.4,108.3,109.02,109.02,19625000,XOM
2025-03-06,105.43,108.11,104.36,107.62,107.62,17150200,XOM
2025-03-05,105.84,106.33,103.67,105.44,105.44,24822200,XOM
2025-03-04,106.36,108.96,105.94,107.54,107.54,19394900,XOM
2025-03-03,111.7,112.16,106.51,107.76,107.76,18706900,XOM
2025-02-28,110.11,111.58,109.34,111.33,111.33,18821700,XOM
2025-02-27,110.01,111.29,109.28,110.15,110.15,15293200,XOM
2025-02-26,109.74,109.87,108.52,109.46,109.46,10446400,XOM
2025-02-25,111.3,112.13,108.89,109.73,109.73,14497000,XOM
2025-02-24,110.93,111.86,110.32,111.27,111.27,13153500,XOM
2025-02-21,111.32,111.85,110.56,110.69,110.69,14710000,XOM
2025-02-20,110.57,112.42,109.95,112.0,112.00,16325800,XOM
2025-02-19,110.76,112.13,110.06,110.3,110.30,10964700,XOM
2025-02-18,108.63,110.99,108.32,110.14,110.14,20060300,XOM
2025-02-14,108.52,110.23,108.1,108.24,108.24,15733500,XOM
2025-02-13,107.15,108.41,106.52,108.13,108.13,15460000,XOM
2025-02-12,110.05,110.23,107.18,107.35,107.35,18244100,XOM
2025-02-11,111.6,112.51,110.82,111.67,110.68,12713100,XOM
2025-02-10,110.01,111.03,109.88,110.97,109.99,12142200,XOM
2025-02-07,108.78,109.73,108.32,108.89,107.92,10051600,XOM
2025-02-06,110.77,111.05,107.99,108.43,107.47,13411400,XOM
2025-02-05,109.74,110.01,109.1,109.88,108.91,13364400,XOM
2025-02-04,106.71,110.28,106.53,109.96,108.99,14835700,XOM
2025-02-03,106.64,107.3,105.32,107.09,106.14,14623200,XOM
2025-01-31,110.55,110.55,106.1,106.83,105.88,20381400,XOM
2025-01-30,109.24,109.85,108.7,109.57,108.60,14346300,XOM
2025-01-29,107.71,108.78,107.47,108.67,107.71,12345500,XOM
2025-01-28,110.41,110.87,107.79,108.04,107.08,15862000,XOM
2025-01-27,109.01,110.45,108.39,110.17,109.19,15926700,XOM
2025-01-24,110.24,110.71,108.41,108.66,107.70,14235900,XOM
2025-01-23,110.31,111.14,109.61,110.15,109.17,13726800,XOM
2025-01-22,111.2,111.57,109.4,109.53,108.56,15718000,XOM
2025-01-21,112.05,112.18,111.13,111.47,110.48,20416300,XOM
2025-01-17,111.03,112.87,110.82,112.32,111.32,19298500,XOM
2025-01-16,111.19,111.69,110.55,111.32,110.33,10366600,XOM
2025-01-15,110.05,111.73,109.47,111.51,110.52,14521100,XOM
2025-01-14,108.79,109.76,107.83,109.72,108.75,11191200,XOM
2025-01-13,107.13,109.63,107.13,109.29,108.32,17073400,XOM
2025-01-10,108.7,110.1,105.78,106.54,105.60,19304500,XOM
2025-01-08,107.31,107.71,106.01,106.93,105.98,17858100,XOM
2025-01-07,108.94,110.06,108.28,108.75,107.79,12625900,XOM
2025-01-06,108.24,109.78,107.52,107.74,106.78,15623700,XOM
2025-01-03,108.0,108.49,107.46,107.86,106.90,14237900,XOM
2025-01-02,108.28,109.0,106.88,107.31,106.36,12685400,XOM
2024-12-31,106.17,107.9,105.78,107.57,106.62,12387800,XOM
2024-12-30,106.3,106.56,105.51,105.76,104.82,11080800,XOM
2024-12-27,106.3,107.99,105.77,106.48,105.54,11943900,XOM
2024-12-26,106.52,107.03,105.94,106.49,105.55,9652400,XOM
2024-12-24,106.52,107.19,105.7,106.4,105.46,7807000,XOM
2024-12-23,105.31,106.6,104.92,106.3,105.36,12285100,XOM
2024-12-20,105.45,106.14,104.84,105.87,104.93,40141200,XOM
2024-12-19,107.39,107.67,105.21,105.51,104.57,20565600,XOM
2024-12-18,107.57,108.83,106.31,106.42,105.48,17114500,XOM
2024-12-17,107.24,108.17,106.79,108.01,107.05,17554000,XOM
2024-12-16,110.2,110.4,108.16,108.47,107.51,20256100,XOM
2024-12-13,111.9,111.9,110.25,110.84,109.86,13106100,XOM
2024-12-12,111.59,112.38,110.78,111.82,110.83,14543300,XOM
2024-12-11,112.0,112.39,111.11,111.92,110.93,32392200,XOM
2024-12-10,113.59,113.88,111.75,112.67,111.67,20990900,XOM
2024-12-09,114.64,114.94,112.75,112.9,111.90,17412600,XOM
2024-12-06,114.54,114.77,113.5,113.57,112.56,16171100,XOM
2024-12-05,114.71,115.62,114.06,114.78,113.76,15751200,XOM
2024-12-04,117.5,117.55,113.86,114.28,113.27,19520600,XOM
2024-12-03,118.72,118.72,117.26,117.67,116.63,11756600,XOM
2024-12-02,118.05,118.2,116.82,117.85,116.81,12687300,XOM
2024-11-29,117.44,118.5,116.95,117.96,116.91,9426500,XOM
2024-11-27,118.09,118.73,117.43,117.66,116.62,11079100,XOM
2024-11-26,119.53,119.68,117.85,117.97,116.92,14827300,XOM
2024-11-25,121.43,121.88,119.61,119.97,118.91,26580300,XOM
2024-11-22,121.82,123.21,121.64,121.79,120.71,13323400,XOM
2024-11-21,121.08,122.55,120.27,121.93,120.85,14675400,XOM
2024-11-20,119.17,120.47,118.64,120.32,119.25,11360900,XOM
2024-11-19,119.75,119.75,118.2,118.63,117.58,11584400,XOM
2024-11-18,119.79,120.62,119.27,120.31,119.24,14243700,XOM
2024-11-15,120.4,121.24,119.13,119.31,118.25,19051700,XOM
2024-11-14,121.66,121.88,120.33,120.56,119.49,13041800,XOM
2024-11-13,120.57,122.05,118.8,121.47,119.41,15127900,XOM
2024-11-12,121.13,121.31,119.84,120.35,118.31,11972800,XOM
2024-11-11,121.0,121.62,120.07,120.47,118.43,11969700,XOM
2024-11-08,120.98,121.42,119.66,121.11,119.06,12836000,XOM
2024-11-07,121.3,121.5,119.61,121.15,119.10,12184400,XOM
